filename,lamb_Q3,lamb_Q2,lamb_Q1,R1_Count,Wrong_Count,Non_R1_Count
n01440764_1514.JPEG,7.04775,5.6945,2.726,70,2,8
n01440764_15203.JPEG,8.01975,5.1515,2.5115,69,5,6
n01440764_1537.JPEG,5.1675,2.795,1.07925,50,21,9
n01440764_15453.JPEG,4.55125,2.0635,0.8875,61,8,11
n01440764_1552.JPEG,8.062,4.564,2.554,70,6,4
n01440764_15560.JPEG,1.80575,1.056,0.45875,33,37,10
n01440764_1559.JPEG,4.87275,2.3375,1.1605,70,4,6
n01440764_1561.JPEG,6.70175,2.6415,1.21925,71,5,4
n01440764_1564.JPEG,1.95775,1.038,0.8445,28,22,30
n01440764_1566.JPEG,4.919,2.169,0.93,57,10,13
n01440764_15678.JPEG,8.072,6.1015,3.5755,67,9,4
n01440764_1577.JPEG,6.988,3.1985,0.858,73,4,3
n01440764_16051.JPEG,8.1075,4.1385,1.77,67,9,4
