filename,swin_b,swin_s,swin_t,ViTB16,ViTB32,ViTH14,ViTL16,ViTL32,MaxVit,swin_v2_b,swin_v2_s,swin_v2_t
n01440764_2418.JPEG,4.216,3.15,3.068,0.184,8.787,0.258,9.815,4.662,7.321,5.21,4.764,3.973
n01440764_2427.JPEG,2.076,0.689,0.976,1.202,4.017,3.447,10.118,4.143,3.088,4.984,4.266,1.35
n01440764_24299.JPEG,5.381,3.291,5.85,0.429,10.177,1.389,11.349,7.024,8.441,2.821,1.571,4.76
n01440764_2433.JPEG,7.584,7.146,6.028,0.925,10.586,1.028,8.499,3.193,6.685,7.942,5.102,5.153
n01440764_24502.JPEG,6.997,3.454,5.06,2.408,5.94,0.959,11.189,5.76,7.728,6.061,5.378,7.128
n01440764_2465.JPEG,2.116,0.925,1.177,0.424,9.266,0.747,7.407,3.359,7.115,2.715,1.836,1.274
n01440764_24828.JPEG,7.475,6.755,6.166,0.314,10.641,0.354,10.412,5.039,5.339,6.767,4.737,7.957
n01440764_2490.JPEG,8.234,8.196,6.512,0.381,9.483,0.747,10.421,5.406,9.221,4.843,7.202,7.037
n01440764_25064.JPEG,4.629,0.76,3.7,0.358,11.188,0.273,10.606,6.046,8.625,6.264,2.105,5.545
n01440764_25090.JPEG,8.988,3.532,5.098,1.742,1.371,0.391,7.119,3.553,1.27,1.213,1.166,2.797
n01440764_25148.JPEG,7.97,6.765,5.608,0.918,10.352,0.187,10.358,6.146,8.889,5.807,3.16,5.008
n01440764_25361.JPEG,6.093,4.651,4.86,0.676,5.701,0.083,11.132,5.597,1.357,6.685,5.275,6.602
n01440764_25370.JPEG,6.059,5.348,5.571,0.267,10.835,0.221,10.959,5.254,8.462,6.411,4.764,5.56
n01440764_2544.JPEG,2.368,1.015,1.921,1.466,7.769,1.045,11.331,6.834,3.234,5.466,3.496,4.121
n01440764_2546.JPEG,5.284,2.391,2.724,0.299,4.983,0.213,10.909,1.127,8.094,4.742,3.573,2.037
n01440764_25478.JPEG,8.717,7.264,5.757,0.793,8.814,0.996,10.218,2.158,8.811,8.109,7.104,5.508
